Topic,Count,Name,Representation,MMR,Representative_Docs
0,78,0_омтс_нач_кг_служебная,"['омтс', 'нач', 'кг', 'служебная', 'записка', 'закупка', 'от', 'бухгалтеру', 'для', 'срочно']","['нач омтс', 'омтс', 'от нач', 'нач', 'кг', 'закупка', 'требуется закупка', 'служебная записка', 'служебная', 'записка', 'для', 'бухгалтеру', 'бухгалтеру от', 'главному бухгалтеру', 'омтс прошу', 'срочно требуется', 'срочно', 'от', 'выделить', 'прошу выделить', 'требуется', 'средства', 'средства на', 'омтс от', 'прошу', 'литров', 'участка', 'выделить денежные', 'денежные средства', 'денежные']","['СЛУЖЕБНАЯ ЗАПИСКА. Главному бухгалтеру. От нач. ОМТС. Прошу выделить денежные средства в размере руб. на приобретение измерительного инструмента (микрометры, штангенциркули) для нужд цеха №1.', 'СЛУЖЕБНАЯ ЗАПИСКА. Главному бухгалтеру. От нач. ОМТС. Прошу выделить денежные средства на оплату счета №112 за приобретение 100 литров СОЖ марки Blaser для работы на высокоскоростных станках ЧПУ.', 'СЛУЖЕБНАЯ ЗАПИСКА. Главному бухгалтеру. От нач. ОМТС. Прошу выделить денежные средства на оплату счета №99 за приобретение 100 метров кабеля КГ 4х10 для подключения передвижных сварочных агрегатов.']"
1,44,1_ит_1с_директору_бухгалтерии,"['ит', '1с', 'директору', 'бухгалтерии', 'прошу', 'по', 'пдо', 'служебная', 'настроить', 'записка']","['по ит', 'ит от', 'ит', 'записка директору', 'директору по', 'директору', 'бухгалтерии', 'пдо прошу', 'прошу', 'от нач', 'нач бухгалтерии', 'бухгалтерии прошу', 'нач пдо', 'пдо', 'по', 'прошу настроить', 'настроить', 'служебная', 'служебная записка', 'записка', 'нач', 'доступ', 'для', 'системе', 'прошу предоставить', 'от', 'отдела', 'прошу приобрести', 'приобрести', 'автоматизации']","[""СЛУЖЕБНАЯ ЗАПИСКА. Директору по ИТ. От нач. отдела кадров. Прошу приобрести дополнительный модуль 'Подбор персонала' для системы 1С в целях автоматизации процесса обработки резюме кандидатов."", ""СЛУЖЕБНАЯ ЗАПИСКА. Директору по ИТ. От нач. отдела кадров. Прошу приобрести дополнительный модуль 'Подбор персонала' для системы 1С в целях автоматизации процесса обработки резюме."", ""СЛУЖЕБНАЯ ЗАПИСКА. Директору по ИТ. От нач. отдела кадров. Прошу приобрести дополнительный модуль 'Подбор персонала' для системы 1С в целях автоматизации процесса обработки резюме.""]"
2,42,2_за_назначить_ответственным_назначении,"['за', 'назначить', 'ответственным', 'назначении', 'ответственного', 'исправное', 'состояние', 'закреплении', 'ответственных', 'систем']","['за', 'назначить', 'ответственным за', 'ответственным', 'приказ назначении', 'назначении', 'назначении ответственного', 'ответственного за', 'ответственного', 'исправное', 'исправное состояние', 'состояние', 'за исправное', 'назначить мастера', 'назначении ответственных', 'ответственных за', 'закреплении', 'приказ закреплении', 'систем', 'ответственных', 'приказ', 'за проверку', 'закрепить', 'эксплуатацию', 'механика', 'службой', 'за содержание', 'содержание', 'мастера', 'состояние систем']","['ПРИКАЗ №1805. О назначении ответственных за содержание и эксплуатацию систем вентиляции в цехе №4. Назначить мастера участка Сидорова П.А. ответственным за своевременную очистку пылеулавливающих агрегатов и замену фильтров.', 'ПРИКАЗ №1830. О назначении ответственного за исправное состояние систем пожаротушения в электрощитовых. Назначить главного энергетика Соколова И.М. ответственным за проверку модулей газового пожаротушения.', 'ПРИКАЗ №1630. О назначении ответственного за исправное состояние систем пожаротушения в электрощитовых. Назначить главного энергетика Соколова И.М. ответственным за проверку модулей газового пожаротушения и ведение журналов.']"
3,43,3_комиссию_инвентаризации_проведении_срок,"['комиссию', 'инвентаризации', 'проведении', 'срок', 'создать', 'предоставления', 'приказ', 'комиссии', '11', 'внутреннего']","['комиссию', 'инвентаризации', 'создать', 'комиссию для', 'приказ проведении', 'создать комиссию', 'проведении', 'проведении инвентаризации', 'срок', 'срок предоставления', 'предоставления', 'комиссии', 'приказ', 'наличия', 'предоставления отчета', 'проведении внутреннего', 'внутреннего аудита', 'отчета', 'внутреннего', 'остатков', 'аудита', 'проверить', 'для сверки', 'аудита системы', 'для проверки', 'сверки', 'инструмента', 'комиссии по', 'составе', 'председатель']","['ПРИКАЗ №820. О проведении инвентаризации инструмента на центральном складе. Создать комиссию в составе: бух. Иванова, нач. склада Петров, инженер Сидоров. Срок проведения — с 20.11 по 25.11.', 'ПРИКАЗ №1820. О проведении инвентаризации остатков сварочной проволоки и электродов. Создать комиссию для сверки фактических остатков на складах цехов №1 и №3 с данными бухгалтерского учета. Срок предоставления ведомостей — 20.11.', 'ПРИКАЗ №1620. О проведении инвентаризации остатков сварочной проволоки и электродов. Создать комиссию для сверки фактических остатков на складах цехов №1 и №3 с данными бухгалтерского учета. Срок предоставления ведомостей — 20.11.']"
4,42,4_производству_строя_инженеру_сообщаю,"['производству', 'строя', 'инженеру', 'сообщаю', 'служебная', 'требуется', 'записка', 'выходе', 'от', 'станка']","['инженеру от', 'главному инженеру', 'инженеру', 'строя', 'из строя', 'требуется', 'сообщаю', 'записка главному', 'по производству', 'производству', 'производству от', 'выходе', 'выходе из', 'главному', 'станка', 'из', 'замена', 'инв', 'инв требуется', 'служебная записка', 'служебная', 'записка', 'закупка', 'сообщаю выходе', 'информирую', 'участка', 'цеха', 'от', 'от нач', 'нач участка']","['СЛУЖЕБНАЯ ЗАПИСКА. Главному инженеру. От нач. ремонтного участка. Сообщаю о критическом износе направляющих станка мод. 1М63 (инв. №12). Требуется проведение капитального ремонта.', 'СЛУЖЕБНАЯ ЗАПИСКА. Главному инженеру. От нач. инструментального цеха. Сообщаю о выходе из строя заточного станка. Требуется закупка алмазных кругов и замена шпиндельного узла. Ремонт силами цеха невозможен.', 'СЛУЖЕБНАЯ ЗАПИСКА. Главному инженеру. От нач. инструментального цеха. Сообщаю о выходе из строя заточного станка. Требуется закупка алмазных кругов и замена шпиндельного узла. Ремонт силами цеха невозможен.']"
5,33,5_выплатить_премию_премировании_за,"['выплатить', 'премию', 'премировании', 'за', 'списку', 'итогам', 'поощрении', 'согласно', 'размере', 'приказ']","['выплатить', 'премию', 'премировании', 'приказ премировании', 'премировании за', 'за', 'списку', 'по итогам', 'выплатить премию', 'итогам', 'списку приказ', 'согласно', 'согласно списку', 'размере', 'поощрении', 'приказ поощрении', 'премию размере', 'приказ', 'приказ награждении', 'награждении', 'вознаграждение', 'снижение', 'по результатам', 'результатам', 'сотрудников за', 'поощрении за', 'добросовестный труд', 'премировать', 'добросовестный', 'труд']","['ПРИКАЗ №1635. О премировании за высокое качество сварных соединений по результатам УЗК. По итогам проверки партии сосудов (заказ №405), дефектов не обнаружено. Премировать сварщиков согласно приложенному списку.', 'ПРИКАЗ №1235. О премировании за экономию материалов. По итогам квартала на заготовительном участке достигнуто снижение отходов листового проката на 8%. Выплатить бригаде премию согласно списку.', 'ПРИКАЗ №835. О премировании за экономию материалов. По итогам квартала на заготовительном участке достигнуто снижение отходов листового проката на 8%. Выплатить бригаде премию согласно списку.']"
6,32,6_кадров_разряда_персоналу_кандидатуру,"['кадров', 'разряда', 'персоналу', 'кандидатуру', 'токаря', 'цеха', 'рассмотреть', 'прошу', 'слесаря', 'нач']","['кадров от', 'цеха прошу', 'кадров', 'нач цеха', 'отдела кадров', 'нач отдела', 'персоналу от', 'по персоналу', 'прошу рассмотреть', 'разряда', 'персоналу', 'токаря', 'рассмотреть кандидатуру', 'кандидатуру', 'рассмотреть', 'цеха', 'прошу', 'слесаря', 'отдела', 'участка прошу', 'иванова', 'нач', 'записка нач', 'мастера', 'от мастера', 'записка', 'кандидатуру токаря', 'служебная', 'служебная записка', 'связи']","['СЛУЖЕБНАЯ ЗАПИСКА. Директору по персоналу. От мастера мех. участка. Прошу рассмотреть кандидатуру токаря Иванова В.С. на получение 5-го разряда. Теоретический экзамен и пробная работа сданы успешно.', 'СЛУЖЕБНАЯ ЗАПИСКА. Директору по персоналу. От мастера мех. участка. Прошу рассмотреть кандидатуру токаря Петрова С.А. на получение 4-го разряда в связи с успешным освоением обработки нержавеющих сталей на станках с ЧПУ.', 'СЛУЖЕБНАЯ ЗАПИСКА. Директору по персоналу. От мастера мех. участка. Прошу рассмотреть кандидатуру токаря Петрова С.А. на получение 4-го разряда в связи с успешным освоением обработки нержавеющих сталей.']"
7,41,7_исходящее_письмо_эко_просим,"['исходящее', 'письмо', 'эко', 'просим', 'управления', 'адрес', 'руководителю', 'направляем', 'росприроднадзора', 'ооо']","['эко', 'ооо эко', 'письмо', 'исходящее письмо', 'исходящее', 'руководителю ооо', 'письмо руководителю', 'руководителю', 'управления', 'росприроднадзора направляем', 'росприроднадзора', 'управления росприроднадзора', 'письмо адрес', 'адрес', 'ооо', 'просим', 'направляем', 'адрес управления', 'отчет', 'просим провести', 'отходов', 'провести замеры', 'веществ', 'лимитов', 'направляем отчет', 'квартал года', 'зоны', 'за квартал', 'нарушений', 'регионального']","[""ИСХОДЯЩЕЕ ПИСЬМО. Руководителю ООО 'Эко-Мониторинг'. Просим провести замеры концентрации вредных веществ в воздухе рабочей зоны на участке пайки в связи с модернизацией системы местной вытяжной вентиляции."", 'ИСХОДЯЩЕЕ ПИСЬМО. В адрес регионального управления Росприроднадзора. Направляем отчет по форме 2-ТП (отходы) за III квартал 2023 года. Нарушений установленных лимитов размещения промышленных отходов не выявлено.', 'ИСХОДЯЩЕЕ ПИСЬМО. В адрес регионального управления Росприроднадзора. Направляем отчет по форме 2-ТП (отходы) за III квартал 2023 года. Нарушений установленных лимитов размещения промышленных отходов не выявлено.']"
8,29,8_юридического_отдела_менеджера_ооо,"['юридического', 'отдела', 'менеджера', 'ооо', 'подготовить', 'юридический', 'проект', 'прошу', 'отдел', 'договору']","['отдела', 'юридического отдела', 'юридического', 'нач юридического', 'ооо', 'прошу подготовить', 'отдела от', 'подготовить', 'менеджера', 'менеджера по', 'от менеджера', 'от отдела', 'отдел от', 'юридический', 'юридический отдел', 'записка юридический', 'прошу проверить', 'прошу', 'подготовить проект', 'проект', 'записка нач', 'отдел', 'закупкам прошу', 'договору', 'отдела сбыта', 'сбыта прошу', 'сбыта', 'проверить', 'соглашения', 'служебная']","[""СЛУЖЕБНАЯ ЗАПИСКА. Нач. юридического отдела. От менеджера по закупкам. Прошу проверить юридическую чистоту правоустанавливающих документов нового поставщика инструмента ООО 'Резец' перед подписанием контракта."", ""СЛУЖЕБНАЯ ЗАПИСКА. Нач. юридического отдела. От менеджера по закупкам. Прошу подготовить проект дополнительного соглашения с ООО 'ПромСталь' о возможности оплаты товара векселями предприятия."", ""СЛУЖЕБНАЯ ЗАПИСКА. В юридический отдел. От отдела сбыта. Прошу подготовить проект дополнительного соглашения к договору с ООО 'ПромТех' об изменении банковских реквизитов нашей организации.""]"
9,29,9_охраны_разрешить_начальнику_номер,"['охраны', 'разрешить', 'начальнику', 'номер', 'ит', 'автомобиля', 'нач', 'выезд', 'прошу', 'видеонаблюдения']","['охраны', 'нач ит', 'ит отдела', 'охраны от', 'начальнику охраны', 'записка начальнику', 'прошу разрешить', 'нач охраны', 'разрешить', 'начальнику', 'отдела от', 'ит', 'номер', 'записка нач', 'автомобиля', 'прошу', 'нач', 'разрешить выезд', 'выезд', 'охраны прошу', 'видеонаблюдения', 'охраны требуется', 'отдела', 'служебная записка', 'служебная', 'записка', 'номер после', 'готовой', 'готовой продукции', 'от']","['СЛУЖЕБНАЯ ЗАПИСКА. Начальнику охраны. От зав. складом металлов. Прошу разрешить выезд автомобиля КАМАЗ (В456ВВ) после 20:00 для доставки срочного груза на объект заказчика.', 'СЛУЖЕБНАЯ ЗАПИСКА. Начальнику охраны. От нач. склада готовой продукции. Прошу разрешить выезд автомобиля ГАЗель (номер Е444КХ) после 20:00 для доставки срочного груза на железнодорожный вокзал.', 'СЛУЖЕБНАЯ ЗАПИСКА. Начальнику охраны. От нач. склада готовой продукции. Прошу разрешить выезд за территорию завода автомобиля ГАЗель (номер А100АА) после 19:00 для доставки срочного заказа.']"
10,27,10_запретить_работ_проведения_запрете,"['запретить', 'работ', 'проведения', 'запрете', 'наряда', 'оформления', 'порядке', 'без', 'допуска', 'нарушителей']","['запретить', 'работ', 'порядке проведения', 'проведения', 'запрете', 'наряда', 'приказ запрете', 'наряда допуска', 'приказ порядке', 'порядке', 'оформления', 'без', 'допуска', 'категорически запретить', 'оформления наряда', 'нарушителей', 'категорически', 'без оформления', 'сварочных работ', 'работ на', 'использования', 'сварочных', 'вне', 'запрете использования', 'огневых', 'огневых работ', 'проведения огневых', 'приказ', 'наличия', 'на высоте']","['ПРИКАЗ №1440. О порядке проведения сварочных работ на временных постах. Категорически запретить сварку вне цеха без наличия экрана, средств пожаротушения и оформления наряда-допуска.', 'ПРИКАЗ №1640. О порядке проведения огневых работ на высоте. Категорически запретить проведение сварки на высоте более 1.8 м без оформления наряда-допуска, наличия страховочного пояса и огнеупорного полотна внизу.', 'ПРИКАЗ №1840. О порядке проведения огневых работ на высоте. Категорически запретить проведение сварки на высоте более 1.8 м без оформления наряда-допуска, наличия страховочного пояса и огнеупорного полотна.']"
11,28,11_чс_го_службы_нач,"['чс', 'го', 'службы', 'нач', 'необходимости', 'сообщаю', 'замены', 'электроцеха', 'освещения', 'огнетушителей']","['чс от', 'службы го', 'го чс', 'чс', 'го', 'нач службы', 'записка нач', 'службы', 'сообщаю необходимости', 'необходимости', 'нач', 'сообщаю', 'замены', 'нач электроцеха', 'электроцеха срочно', 'электроцеха', 'освещения', 'прошу обеспечить', 'огнетушителей', 'омтс от', 'штук', 'светодиодных', 'территории', 'срочно требуется', 'от мастера', 'срочно', 'служебная', 'служебная записка', 'записка', 'нач омтс']","['СЛУЖЕБНАЯ ЗАПИСКА. Нач. службы ГО и ЧС. От мастера инструментального участка. Сообщаю о необходимости замены 5 огнетушителей ОУ-5, у которых истек срок эксплуатации. Прошу обеспечить замену до конца недели.', 'СЛУЖЕБНАЯ ЗАПИСКА. Нач. службы ГО и ЧС. От мастера участка гальваники. Сообщаю о необходимости перезарядки огнетушителей ОУ-5 в количестве 8 штук. Срок очередной проверки истекает 25.11.', 'СЛУЖЕБНАЯ ЗАПИСКА. Нач. службы ГО и ЧС. От мастера участка гальваники. Сообщаю о необходимости перезарядки огнетушителей ОУ-5 в количестве 8 штук. Срок очередной проверки истекает 25.11.']"
