id,document_text
1,"ПРИКАЗ №101. О проведении внепланового ТО станков ЧПУ в цехе №3. В связи с отклонением точности обработки, ПРИКАЗЫВАЮ: 1. Главному инженеру организовать проверку геометрии станков до 15.10. 2. Начальнику цеха приостановить работы на участках №2 и №4."
2,"СЛУЖЕБНАЯ ЗАПИСКА. Директору по закупкам. От нач. литейного участка. Прошу рассмотреть закупку 5 тонн чугуна СЧ20. Текущие запасы на исходе, что ставит под угрозу выполнение плана по отливке корпусов для 'МашПром'."
3,ИСХОДЯЩЕЕ ПИСЬМО №45/02. Руководителю ООО 'МеталлСнаб'. Уведомляем о задержке оплаты по договору №12-89 от 01.09. в связи с техническим сбоем в банке. Оплата будет произведена до конца недели. Приносим извинения.
4,"ПРИКАЗ №112. Об утверждении графика отпусков на ремонтный период. Для обеспечения работы инструментального цеха при ремонте кровли, ПРИКАЗЫВАЮ: 1. Утвердить перенос отпусков мастеров согласно приложению №1."
5,СЛУЖЕБНАЯ ЗАПИСКА. Главному технологу. От инженера ОТК. При приемке партии валов (чертеж 405.12.01) выявлен брак по шероховатости. Прошу провести аудит техпроцесса шлиф-обработки и проверить состояние кругов.
6,ПРИКАЗ №115. О назначении ответственных за пожарную безопасность в сборочном цехе. Назначить мастера Иванова А.В. ответственным за противопостажрный режим в смене №2. Срок инструктажа персонала - до 20.10.
7,ИСХОДЯЩЕЕ ПИСЬМО. Директору АО 'ЭнергоСеть'. Просим согласовать временное отключение подстанции №4 25.10 с 10:00 до 14:00 для проведения плановой замены вводных кабелей в цехе металлоконструкций.
8,СЛУЖЕБНАЯ ЗАПИСКА. В отдел кадров. От нач. цеха №5. Прошу направить на курсы повышения квалификации сварщика 4 разряда Сидорова П.С. для получения допуска к работе на аргонно-дуговых установках нового типа.
9,"ПРИКАЗ №120. О вводе в эксплуатацию прессового оборудования. На основании акта приемки №44, ПРИКАЗЫВАЮ: 1. Ввести в эксплуатацию гидравлический пресс мод. П6330. 2. Закрепить оборудование за бригадой №3."
10,СЛУЖЕБНАЯ ЗАПИСКА. Нач. службы безопасности. От мастера склада. Сообщаю о неисправности системы видеонаблюдения на рампе №2. Прошу произвести ремонт камер для обеспечения контроля отгрузки готовой продукции.
11,"ПРИКАЗ №125. О проведении ежегодной инвентаризации ТМЦ. Создать комиссию в составе: бух. Иванова, завскладом Петров, инженер Сидоров. Срок проведения - с 01.11 по 10.11. Отчет предоставить до 15.11."
12,ИСХОДЯЩЕЕ ПИСЬМО. В адрес ТК 'Деловые Линии'. Направляем претензию по факту повреждения упаковки груза (накладная №7899). Требуем составить акт о порче имущества и компенсировать стоимость ремонта тары.
13,СЛУЖЕБНАЯ ЗАПИСКА. Главному механику. От нач. участка термообработки. Требуется срочная замена нагревательных элементов в печи №8. Текущая температура не достигает заданных параметров закалки деталей.
14,"ПРИКАЗ №130. О соблюдении масочного режима и санитарных норм. В целях профилактики ОРВИ среди персонала, ПРИКАЗЫВАЮ: 1. Обеспечить наличие антисептиков на проходной. 2. Мастерам контролировать состояние здоровья."
15,СЛУЖЕБНАЯ ЗАПИСКА. Директору по ИТ. От нач. ПДО. Прошу предоставить доступ к модулю 'Производство' в системе 1С сотруднику Смирновой Т.А. в связи с расширением должностных обязанностей.
16,"ПРИКАЗ №135. О премировании по итогам месяца. За выполнение сверхпланового задания по выпуску опорных плит, ПРИКАЗЫВАЮ: Начислить премию в размере 20% от оклада сотрудникам инструментального участка."
17,"ИСХОДЯЩЕЕ ПИСЬМО. Заводу 'СтальКонструкция'. Просим предоставить сертификаты качества на последнюю партию листового проката (30 мм, ст3сп). Без документов приемка материала на склад невозможна."
18,"СЛУЖЕБНАЯ ЗАПИСКА. Главному бухгалтеру. От нач. ОМТС. Прошу выделить денежные средства в размере 15 000 руб. на приобретение измерительного инструмента (микрометры, штангенциркули) для нужд цеха №1."
19,ПРИКАЗ №140. О сокращении рабочего дня в предпраздничный период. Установить продолжительность смены 03.11 на один час короче. Оплату труда произвести в полном объеме согласно табелю учета времени.
20,СЛУЖЕБНАЯ ЗАПИСКА. Нач. транспортного цеха. От нач. склада готовой продукции. Прошу подать 2 грузовых автомобиля грузоподъемностью 10 тонн к 09:00 завтра для отгрузки заказа в г. Екатеринбург.
21,"ПРИКАЗ №145. О проведении аттестации рабочих мест. В соответствии с требованиями ТК РФ, создать комиссию по оценке условий труда на участках гальваники. Срок завершения работ - до конца квартала."
22,ИСХОДЯЩЕЕ ПИСЬМО. ООО 'ПромТехСервис'. Направляем техническое задание на модернизацию системы управления токарно-карусельного станка. Просим рассчитать стоимость и сроки выполнения работ.
